Transaction_ID,Date,Region,Category,Campaign_Name,Local_Currency,Local_Amount,Exchange_Rate,Spend_USD
TXN-359488,01-01-25,Americas,Platform Subs,Organic/None,USD,1240.91,0.9728,1275.67
TXN-293585,01-01-25,Asia,Developer Grants,Global Hackathon,SGD,22220.32,1.4158,15694.27
TXN-311519,01-01-25,Asia,Event Logistics,Organic/None,SGD,8572.87,1.4069,6093.37
TXN-594631,01-01-25,Asia,Marketing,Spring Builder Cohort,SGD,1396.92,1.3937,1002.34
TXN-942667,01-01-25,Europe,Marketing,Organic/None,EUR,2543.77,0.9097,2796.39
TXN-577154,01-01-25,Americas,Platform Subs,Organic/None,USD,12362.01,0.9781,12638.83
TXN-359249,01-01-25,Africa,Marketing,Global Hackathon,NGN,1224.37,1112.0677,1.1
TXN-407165,01-01-25,Africa,Bounties,Spring Builder Cohort,NGN,1841.34,1182.8058,1.56
TXN-658335,01-01-25,Asia,Event Logistics,Spring Builder Cohort,SGD,68296.19,1.3162,51888.81
TXN-667354,01-01-25,Africa,Developer Grants,Spring Builder Cohort,NGN,7115.26,1100.8954,6.46
TXN-182662,01-01-25,Asia,Event Logistics,Spring Builder Cohort,SGD,4595.36,1.3896,3306.85
TXN-823666,01-01-25,Africa,Developer Grants,Spring Builder Cohort,NGN,3359.48,1104.7044,3.04
TXN-159321,02-01-25,Asia,Developer Grants,Organic/None,SGD,3320.25,1.3218,2511.9
TXN-172588,02-01-25,Africa,Developer Grants,Global Hackathon,NGN,2240.88,1191.3328,1.88
TXN-994551,02-01-25,Africa,Marketing,Global Hackathon,NGN,1150.4,1143.4986,1.01
TXN-988079,02-01-25,Africa,Developer Grants,Organic/None,NGN,14084.34,1138.5921,12.37
TXN-502968,02-01-25,Asia,Bounties,Organic/None,SGD,3493.58,1.3726,2545.24
TXN-461363,02-01-25,Asia,Platform Subs,Organic/None,SGD,2796.3,1.3379,2090.08
TXN-761765,02-01-25,Americas,Event Logistics,Organic/None,USD,69109.83,1.0321,66961.41
TXN-189846,02-01-25,Africa,Bounties,Organic/None,NGN,1198.41,1148.7625,1.04
TXN-110270,03-01-25,Europe,Bounties,Regional Meetups,EUR,3119.82,0.9228,3380.79
TXN-542126,03-01-25,Europe,Bounties,Regional Meetups,EUR,11354.1,0.8934,12708.15
TXN-883954,03-01-25,Europe,Event Logistics,Organic/None,EUR,7564.09,0.9657,7832.63
TXN-204555,03-01-25,Africa,Developer Grants,Organic/None,NGN,140914.35,1103.282,127.72
TXN-451696,03-01-25,Africa,Platform Subs,Organic/None,NGN,3866.49,1148.6796,3.37
TXN-479225,03-01-25,Europe,Platform Subs,Organic/None,EUR,4764.33,0.9237,5158.03
TXN-759943,03-01-25,Americas,Bounties,Global Hackathon,USD,1406.74,0.9695,1451
TXN-178537,03-01-25,Americas,Event Logistics,Global Hackathon,USD,771.55,0.9698,795.57
TXN-550961,03-01-25,Asia,Bounties,Global Hackathon,SGD,282.06,1.4032,201.02
TXN-568974,03-01-25,Americas,Platform Subs,Organic/None,USD,838.69,0.9724,862.51
TXN-771695,03-01-25,Africa,Developer Grants,Core Contributor Fund,NGN,140122.62,1124.802,124.58
TXN-630338,04-01-25,Africa,Developer Grants,Global Hackathon,NGN,302.98,1197.0989,0.25
TXN-907977,04-01-25,Asia,Developer Grants,Global Hackathon,SGD,29537.07,1.2859,22969.35
TXN-453151,04-01-25,Asia,Marketing,Spring Builder Cohort,SGD,3160.61,1.2861,2457.56
TXN-119403,04-01-25,Americas,Event Logistics,Core Contributor Fund,USD,4730.41,1.0477,4515.21
TXN-989602,04-01-25,Europe,Event Logistics,Spring Builder Cohort,EUR,94296.29,0.8906,105880.37
TXN-361021,04-01-25,Africa,Event Logistics,Spring Builder Cohort,NGN,25432.86,1126.2919,22.58
TXN-902066,04-01-25,Europe,Bounties,Regional Meetups,EUR,669.73,0.9386,713.57
TXN-820602,04-01-25,Africa,Bounties,Core Contributor Fund,NGN,971.64,1173.4636,0.83
TXN-590726,04-01-25,Americas,Developer Grants,Regional Meetups,USD,1293.44,1.0418,1241.58
TXN-630933,04-01-25,Africa,Bounties,Regional Meetups,NGN,2538.27,1158.8015,2.19
TXN-491685,04-01-25,Americas,Marketing,Spring Builder Cohort,USD,1364.32,1.017,1341.52
TXN-963669,04-01-25,Africa,Bounties,Global Hackathon,NGN,15230.26,1161.0622,13.12
TXN-313869,04-01-25,Africa,Developer Grants,Organic/None,NGN,10101.69,1115.2533,9.06
TXN-380926,05-01-25,Africa,Marketing,Global Hackathon,NGN,574.6,1138.7767,0.5
TXN-182922,05-01-25,Asia,Event Logistics,Spring Builder Cohort,SGD,9022.72,1.3098,6888.74
TXN-310644,05-01-25,Africa,Developer Grants,Spring Builder Cohort,NGN,91367.44,1105.2577,82.67
TXN-896308,05-01-25,Europe,Event Logistics,Regional Meetups,EUR,23364.45,0.9041,25843.87
TXN-482865,05-01-25,Asia,Bounties,Global Hackathon,SGD,2902.5,1.417,2048.37
TXN-848589,05-01-25,Africa,Developer Grants,Organic/None,NGN,136895.73,1133.439,120.78
TXN-256104,05-01-25,Asia,Developer Grants,Spring Builder Cohort,SGD,128260.43,1.3661,93885.81
TXN-241483,05-01-25,Americas,Marketing,Core Contributor Fund,USD,2617.28,0.9619,2721.01
TXN-530988,05-01-25,Americas,Developer Grants,Spring Builder Cohort,USD,35484.64,0.9793,36233.56
TXN-379180,05-01-25,Africa,Developer Grants,Spring Builder Cohort,NGN,25458.2,1166.1658,21.83
TXN-485264,05-01-25,Americas,Bounties,Global Hackathon,USD,618.19,0.9734,635.1
TXN-459221,05-01-25,Americas,Event Logistics,Core Contributor Fund,USD,5861.04,0.9571,6123.73
TXN-838345,05-01-25,Africa,Developer Grants,Core Contributor Fund,NGN,28553.51,1128.8626,25.29
TXN-490903,05-01-25,Americas,Developer Grants,Regional Meetups,USD,9293.73,1.0046,9250.76
TXN-441883,06-01-25,Europe,Developer Grants,Core Contributor Fund,EUR,16976.78,0.8921,19030.66
TXN-534076,06-01-25,Africa,Developer Grants,Core Contributor Fund,NGN,493.6,1130.7993,0.44
TXN-485389,06-01-25,Europe,Marketing,Spring Builder Cohort,EUR,23187.47,0.928,24986.5
TXN-859945,06-01-25,Africa,Bounties,Organic/None,NGN,387.98,1148.5741,0.34
TXN-386070,06-01-25,Africa,Event Logistics,Core Contributor Fund,NGN,2761.28,1185.2529,2.33
TXN-188901,06-01-25,Asia,Developer Grants,Regional Meetups,SGD,26678.2,1.3826,19294.98
TXN-138131,06-01-25,Africa,Developer Grants,Organic/None,NGN,1692.93,1106.6251,1.53
TXN-114551,07-01-25,Europe,Developer Grants,Organic/None,EUR,5994.97,0.9317,6434.35
TXN-325300,07-01-25,Americas,Developer Grants,Global Hackathon,USD,23832.67,0.9864,24160.27
TXN-793290,07-01-25,Europe,Bounties,Regional Meetups,EUR,603.63,0.8829,683.72
TXN-241868,07-01-25,Africa,Developer Grants,Spring Builder Cohort,NGN,4857.52,1147.7852,4.23
TXN-698137,07-01-25,Americas,Bounties,Core Contributor Fund,USD,4575.29,0.9956,4595.33
TXN-929984,07-01-25,Americas,Developer Grants,Spring Builder Cohort,USD,76300.95,1.0086,75651.16
TXN-819533,07-01-25,Americas,Bounties,Global Hackathon,USD,965.96,0.9554,1011.07
TXN-664410,07-01-25,Africa,Developer Grants,Spring Builder Cohort,NGN,97948.13,1146.6922,85.42
TXN-330596,07-01-25,Asia,Event Logistics,Core Contributor Fund,SGD,11798.1,1.3491,8745.21
TXN-980111,07-01-25,Asia,Platform Subs,Organic/None,SGD,1594.17,1.377,1157.68
TXN-888929,07-01-25,Asia,Developer Grants,Organic/None,SGD,9982.18,1.3473,7408.92
TXN-156467,07-01-25,Europe,Developer Grants,Organic/None,EUR,749.64,0.9247,810.71
TXN-312314,07-01-25,Asia,Developer Grants,Core Contributor Fund,SGD,12627.71,1.3843,9122.33
TXN-847916,07-01-25,Africa,Bounties,Spring Builder Cohort,NGN,3200.38,1150.017,2.78
TXN-473965,08-01-25,Europe,Developer Grants,Core Contributor Fund,EUR,175848.55,0.9239,190323.34
TXN-108429,08-01-25,Africa,Developer Grants,Spring Builder Cohort,NGN,34876.54,1099.2738,31.73
TXN-183038,08-01-25,Africa,Developer Grants,Organic/None,NGN,7634.55,1183.6018,6.45
TXN-118243,08-01-25,Africa,Event Logistics,Core Contributor Fund,NGN,3754.04,1116.8214,3.36
TXN-588896,08-01-25,Asia,Developer Grants,Spring Builder Cohort,SGD,13449.34,1.3434,10011.07
TXN-407780,08-01-25,Europe,Developer Grants,Core Contributor Fund,EUR,9770.83,0.9588,10191.15
TXN-119731,08-01-25,Americas,Developer Grants,Regional Meetups,USD,83208.83,0.9659,86142.9
TXN-514437,08-01-25,Africa,Event Logistics,Organic/None,NGN,56240.27,1121.4077,50.15
TXN-970176,08-01-25,Europe,Developer Grants,Global Hackathon,EUR,8166.49,0.9462,8630.83
TXN-691309,09-01-25,Europe,Developer Grants,Regional Meetups,EUR,7332.98,0.9213,7959.59
TXN-232602,09-01-25,Africa,Developer Grants,Organic/None,NGN,11598,1149.631,10.09
TXN-157755,09-01-25,Africa,Marketing,Regional Meetups,NGN,1707.14,1139.8207,1.5
TXN-956048,09-01-25,Africa,Developer Grants,Regional Meetups,NGN,10446.65,1132.1988,9.23
TXN-389361,09-01-25,Africa,Developer Grants,Spring Builder Cohort,NGN,14834.93,1199.3861,12.37
TXN-906532,09-01-25,Africa,Developer Grants,Core Contributor Fund,NGN,56077.81,1153.4528,48.62
TXN-104677,09-01-25,Africa,Platform Subs,Organic/None,NGN,1235.43,1110.8712,1.11
TXN-383269,10-01-25,Asia,Platform Subs,Organic/None,SGD,1002,1.3543,739.84
TXN-909842,10-01-25,Americas,Developer Grants,Global Hackathon,USD,746.7,0.9693,770.33
TXN-383303,10-01-25,Africa,Developer Grants,Spring Builder Cohort,NGN,4145.38,1101.6559,3.76
TXN-893917,10-01-25,Asia,Bounties,Regional Meetups,SGD,873.77,1.3564,644.16
TXN-251744,10-01-25,Asia,Developer Grants,Core Contributor Fund,SGD,32886.32,1.3812,23809.39
TXN-142582,10-01-25,Africa,Developer Grants,Spring Builder Cohort,NGN,38683.15,1117.3166,34.62
TXN-232957,10-01-25,Americas,Event Logistics,Organic/None,USD,5355.21,0.9897,5410.82
TXN-298784,10-01-25,Americas,Event Logistics,Regional Meetups,USD,1233.15,1.0455,1179.5
TXN-543090,10-01-25,Europe,Bounties,Regional Meetups,EUR,3817.25,0.9556,3994.74
TXN-107223,10-01-25,Europe,Developer Grants,Organic/None,EUR,10516.59,0.9492,11079.17
TXN-209582,10-01-25,Africa,Platform Subs,Organic/None,NGN,2427.98,1201.2268,2.02
TXN-740539,10-01-25,Africa,Event Logistics,Spring Builder Cohort,NGN,9606.62,1185.734,8.1
TXN-809002,10-01-25,Africa,Developer Grants,Organic/None,NGN,75061.09,1198.3345,62.64
TXN-169191,10-01-25,Europe,Developer Grants,Spring Builder Cohort,EUR,6824.79,0.8981,7599.24
TXN-609325,11-01-25,Africa,Bounties,Organic/None,NGN,8367.01,1182.6929,7.07
